link,question,related_links
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17383&row_limit=1,"Tôi là công dân Việt Nam, cư trú tại quận Hoàng Mai, thành phố Hà Nội. Tôi có lấy một anh người Thụy Điển, đang sinh sống, làm việc tại Việt Nam. Trong thời gian sang thăm bố mẹ chồng bên Thụy Điển tôi có sinh con tại Thụy Điển, chưa thực hiện đăng ký khai sinh cho con. Nay vợ chồng tôi về Việt Nam sinh sống, tôi muốn đăng ký khai sinh cho con tại Việt Nam được không? Và tại cơ quan nào?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17367&row_limit=1,"Hiện nay vợ tôi đã sinh con tại trạm y tế xã. Vậy tôi xin hỏi, tôi muốn đăng ký khai sinh cho con tôi thì tôi phải chuẩn bị những giấy tờ gì?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15749&row_limit=1,Thủ tục KCB BHYT cụ thể như thế nào?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001759', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001265']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17376&row_limit=1,Hiện nay tôi đang chấp hành hình phạt tù tại trại giam X và trong thời gian này tôi sinh được một bé trai. Vậy tôi xin hỏi tôi phải đến đâu để đăng ký khai sinh cho con tôi?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003583']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17386&row_limit=1,Hiện con tôi sắp ra đời. Tôi muốn hỏi để làm thủ tục khai sinh cho con thì tôi cần có những giấy tờ gì? Tôi và bạn gái chưa đăng ký kết hôn.,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000893', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17406&row_limit=1,"Tôi có vợ và hai con. Tôi có quan hệ tình cảm ngoài luồng với một cô khác và sinh được bé trai. Vậy, nay tôi muốn nhận con tôi thì tôi có cần sự xác nhận hay văn bản đồng ý gì từ phía vợ của tôi không?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000080', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001022', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000547', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17408&row_limit=1,"Tôi là công dân Hàn Quốc, có con với một phụ nữ Việt Nam, chưa đăng ký kết hôn. Hiện tại, cô ấy đã sinh một cháu trai đã được 4 tuổi, ở với mẹ. Tôi muốn làm thủ tục nhận đó là con tôi thì tôi có quyền yêu cầu không?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000080', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001022', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000779']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15732&row_limit=1,Trách nhiệm của BHXH Việt Nam trong thực hiện BHYT?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001759', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001798', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001909', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001939', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002051']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17368&row_limit=1,"Tôi quê quán ở Nam Định, hiện tại đang tạm trú tại Bình Dương. Vợ tôi mới sinh con. Vậy cho tôi hỏi: tôi có thể làm giấy khai sinh cho con tôi ở Bình Dương được không?.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15730&row_limit=1,Gói dịch vụ y tế cơ bản do quỹ BHYT chi trả bao gồm những gì?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001656', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001909', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002977', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001265']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15741&row_limit=1,"Xác định số tiền đóng, hỗ trợ đối với một số đối tượng khi nhà nước điều chỉnh mức đóng BHYT, điều chỉnh mức lương cơ sở cụ thể như thế nào?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001656', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001939', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002051', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002977', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001265']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17385&row_limit=1,Tôi và bạn gái người nước ngoài có con với nhau nhưng chưa đăng ký kết hôn. Nay tôi muốn đăng ký khai sinh và nhận con. Vậy cơ quan nào sẽ đăng ký khai sinh và nhận con cho tôi?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17387&row_limit=1,"Tôi mới sinh được một cháu trai. Nay vì lý do cá nhân không đi được và muốn bà nội cháu đi khai sinh cho cháu. Vậy tôi có cần làm giấy ủy quyền cho mẹ chồng tôi để bà đi khai sinh cho cháu hay không? Văn bản này có cần đi công chứng, chứng thực hay không?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000110', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000986', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001023']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12240&row_limit=1,Yêu cầu và điều kiện để làm thủ tục hỗ trợ học tập đối với học sinh tiểu học các dân tộc thiểu số rất ít người như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12243&row_limit=1,Thành phần và số lượng hồ sơ để làm thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12245&row_limit=1,Tôi muốn biết thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người đối tượng thực hiện như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12246&row_limit=1,Thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người thuộc cơ quan nào thực hiện?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12254&row_limit=1,Thời hạn giải quyết thủ tục hỗ trợ học tập đối với sinh viên các dân tộc thiểu số rất ít người như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12574&row_limit=1,"Tôi muốn hỏi về việc chuyển từ một trường học ở nước ngoài về học ở một trường tại Việt Nam, có đối tượng nào thực hiện thủ tục hành chính?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002566']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12256&row_limit=1,Cơ quan nào thực hiện thủ tục hỗ trợ học tập đối với sinh viên các dân tộc thiểu số rất ít người học tại các cơ sở giáo dục ngoài công lập?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12276&row_limit=1,Cơ quan giải quyết thủ tục hành chính việc Hỗ trợ ăn trưa đối với trẻ em mẫu giáo?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001622']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12131&row_limit=1,Tôi muốn hỏi về trình tự xét đặc cách tốt nghiệp THPT như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005098']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12136&row_limit=1,Tôi muốn nộp hồ sơ cho con đăng ký dự thi trung học phổ thông quốc gia thì thành phần hồ sơ gồm những loại giấy tờ nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005142']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12137&row_limit=1,Tôi muốn đăng ký dự thi trung học phổ thông quốc gia phải dựa theo văn bản pháp lý nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005142']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12151&row_limit=1,"Tôi muốn làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, thì thành phần hồ sơ phải có những loại giấy tờ gì và quy định như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005092']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12154&row_limit=1,"Tôi muốn hỏi, khi làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, phải căn cứ văn bản pháp lý nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005092']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12164&row_limit=1,Thành phần hồ sơ để làm thủ tục chuyển trường đối với học sinh trung học cơ sở như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004831']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12172&row_limit=1,"Thành phần, số lượng hồ sơ việc thuyên chuyển trường học bổ túc trung học cơ sở gồm những gì?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005108']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12190&row_limit=1,Thuyên chuyển trường cho học sinh tiểu học có yêu cầu và điều kiện gì không ?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005099']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12218&row_limit=1,Tôi muốn biết thủ tục hỗ trợ học tập đối với trẻ mẫu giáo các dân tộc thiểu số rất ít người đang học tại các cơ sở giáo dục ngoài công lập trình tự thực hiện như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12227&row_limit=1,Thủ tục hỗ trợ học tập đối với trẻ mẫu giáo các dân tộc thiểu số rất ít người kết quả thực hiện là gì?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12237&row_limit=1,Thủ tục hỗ trợ học tập đối với học sinh tiểu học các dân tộc thiểu số rất ít người kết quả thực hiện như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12247&row_limit=1,Tôi muốn biết thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người kết quả thực hiện như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12248&row_limit=1,Tôi muốn biết thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người phí và lệ phí như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12255&row_limit=1,Đối tượng thực hiện thủ tục hỗ trợ học tập đối với sinh viên các dân tộc thiểu số rất ít người như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003702']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12561&row_limit=1,"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, có thành phần, số lượng bộ hồ sơ như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002499']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12265&row_limit=1,"Thời hạn giải quyết Thành phần hồ sơ việc miễn giảm học phí và hỗ trợ chi phí học tập cho học sinh, sinh viên như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005144']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12279&row_limit=1,Căn cứ pháp lý đối với thủ tục hành chính của việc Hỗ trợ ăn trưa đối với trẻ em mẫu giáo như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001622']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12140&row_limit=1,"Tôi muốn nộp đơn phúc khảo bài thi trung học phổ thông quốc gia cho con, thì trình tự phải thực hiện như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005095']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12281&row_limit=1,"Cách thức thực hiện việc Đăng ký xét tuyển đại học hệ chính quy, tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001942']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12282&row_limit=1,"Hồ sơ đăng ký xét tuyển đại học hệ chính quy, tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy bao gồm những gì?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001942']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12161&row_limit=1,"Tôi muốn làm thủ tục công nhận văn bằng tốt nghiệp các cấp học phổ thông do cơ sở nước ngoài cấp, thì phải nộp phí và lệ phí là bao nhiêu?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004889']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12165&row_limit=1,Tôi muốn biết Cơ quan thực hiện việc chuyển trường đối với học sinh trung học cơ sở là cơ quan nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004831']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12168&row_limit=1,Trình tự thực hiện việc tiếp nhận đối tượng học bổ túc trung học cơ sở (THCS) như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001904']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12177&row_limit=1,Phí và lệ phí việc thuyên chuyển trường học bổ túc trung học cơ sở là bao nhiêu?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005108']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12184&row_limit=1,Thuyên chuyển trường cho học sinh tiểu học thời hạn giải quyết như thế nào?,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005099']
